file_name,actor,duration_sec,hr_bpm,rmssd_ms,baseline_blink_rate,brow_ratio,head_jitter,pitch_mean_hz,pitch_std_hz,speech_blink_rate,hrv_subscore,voice_subscore,behavior_subscore,overall_stress_index
01-01-01-01-01-01-01.mp4,Actor_01,3.27,128.4,66.7,55.05,0.1955,117.5363,102.8,24.4,55.05,22.17,35.5,72.25,41.19
01-01-01-01-01-02-01.mp4,Actor_01,3.3,72.7,133.5,18.16,0.1985,121.5772,105.3,26.1,18.16,0.0,46.6,24.62,21.37
01-01-01-01-02-01-01.mp4,Actor_01,3.24,92.7,137.6,37.08,0.1946,120.3263,102.5,23.9,37.08,0.0,41.5,72.7,34.26
01-01-01-01-02-02-01.mp4,Actor_01,3.14,114.8,101.5,57.39,0.1958,114.2629,98.2,24.0,57.39,0.0,45.9,72.1,35.4
01-01-02-01-01-01-01.mp4,Actor_01,3.5,102.8,45.0,171.26,0.1968,119.8959,103.8,27.5,171.26,58.33,41.9,71.6,57.38
01-01-02-01-01-02-01.mp4,Actor_01,3.57,117.6,52.8,33.61,0.1987,125.2493,105.5,20.4,33.61,45.33,16.7,70.65,44.34
01-01-02-01-02-01-01.mp4,Actor_01,3.47,86.5,85.1,69.16,0.194,115.4442,99.8,16.7,69.16,0.0,20.8,73.0,28.14
01-01-02-01-02-02-01.mp4,Actor_01,3.44,139.7,66.7,52.37,0.1896,105.5233,97.2,17.8,52.37,22.17,29.0,75.2,40.13
01-01-02-02-01-01-01.mp4,Actor_01,3.67,114.4,74.6,16.35,0.199,135.4712,96.4,13.1,16.35,9.0,14.4,18.33,13.42
01-01-02-02-01-02-01.mp4,Actor_01,3.97,120.9,57.8,15.11,0.1992,123.5471,109.2,13.8,15.11,37.0,15.0,14.1,23.53
01-01-01-01-01-01-02.mp4,Actor_02,3.64,115.5,47.2,16.5,0.1938,99.123,179.3,95.7,16.5,54.67,89.2,21.43,55.06
01-01-01-01-01-02-02.mp4,Actor_02,3.6,116.6,38.5,33.3,0.1938,98.9103,213.7,96.9,33.3,69.17,90.7,73.1,76.81
01-01-01-01-02-01-02.mp4,Actor_02,3.77,127.3,47.2,15.91,0.194,99.9329,197.8,86.3,15.91,54.67,92.4,19.37,55.4
01-01-01-01-02-02-02.mp4,Actor_02,3.6,99.9,66.7,16.65,0.1965,106.6521,214.3,78.4,16.65,22.17,98.7,20.58,44.65
01-01-02-01-01-01-02.mp4,Actor_02,3.84,62.5,118.0,46.91,0.189,105.4613,201.8,69.7,46.91,0.0,97.7,75.5,51.96
01-01-02-01-01-02-02.mp4,Actor_02,4.0,104.9,94.4,59.94,0.1898,100.4956,227.1,43.4,59.94,0.0,78.9,75.1,46.2
01-01-02-01-02-01-02.mp4,Actor_02,3.84,125.1,42.2,62.55,0.1895,103.2681,218.0,28.5,62.55,63.0,54.3,75.25,64.06
01-01-02-01-02-02-02.mp4,Actor_02,3.97,60.4,33.4,0.0,0.1872,101.2548,216.9,28.8,0.0,77.67,64.2,16.4,55.25
01-01-02-02-01-01-02.mp4,Actor_02,4.14,130.5,140.6,29.0,0.1889,106.3044,210.5,58.7,29.0,0.0,95.3,65.55,48.26
01-01-02-02-01-02-02.mp4,Actor_02,4.04,74.3,118.0,29.72,0.1893,108.1064,222.0,33.6,29.72,0.0,66.6,67.75,40.3
01-01-01-01-01-01-03.mp4,Actor_03,3.44,122.2,108.6,17.46,0.2001,114.3892,147.8,46.8,17.46,0.0,85.3,21.48,32.04
01-01-01-01-01-02-03.mp4,Actor_03,3.5,85.6,150.0,0.0,0.2016,112.7461,144.5,48.9,0.0,0.0,100.0,9.2,32.76
01-01-01-01-02-01-03.mp4,Actor_03,3.5,137.0,27.2,0.0,0.2024,115.193,119.8,36.9,0.0,88.0,78.1,8.8,61.27
01-01-01-01-02-02-03.mp4,Actor_03,3.47,69.2,150.0,0.0,0.2011,110.1788,126.6,39.5,0.0,0.0,89.1,9.45,29.56
01-01-02-01-01-01-03.mp4,Actor_03,3.84,156.4,53.8,0.0,0.2051,113.0417,111.2,21.2,0.0,43.67,36.2,7.45,30.56
01-01-02-01-01-02-03.mp4,Actor_03,3.74,128.4,52.8,0.0,0.2003,111.0313,113.5,15.7,0.0,45.33,23.8,9.85,28.23
01-01-02-01-02-01-03.mp4,Actor_03,3.84,62.5,0.0,15.64,0.2043,128.8347,104.5,14.9,15.64,100.0,40.0,13.32,55.99
01-01-02-01-02-02-03.mp4,Actor_03,3.97,60.4,150.0,15.11,0.2061,124.7823,151.4,18.8,15.11,0.0,41.2,10.65,15.55
01-01-02-02-01-01-03.mp4,Actor_03,4.04,74.3,33.4,14.86,0.2,125.2692,267.3,229.8,14.86,77.67,93.7,12.87,63.04
01-01-02-02-01-02-03.mp4,Actor_03,3.97,136.0,60.2,15.11,0.2006,118.7601,418.3,591.3,15.11,33.0,100.0,13.4,47.22
01-01-01-01-01-01-04.mp4,Actor_04,3.3,90.8,66.7,108.98,0.2234,122.4657,237.4,72.2,108.98,22.17,84.7,60.0,52.28
01-01-01-01-01-02-04.mp4,Actor_04,3.37,106.8,72.1,53.41,0.224,123.4702,238.6,61.1,53.41,13.17,91.9,60.0,50.84
01-01-01-01-02-01-04.mp4,Actor_04,3.27,128.4,78.3,55.05,0.2275,122.4019,221.2,49.8,55.05,2.83,81.5,60.0,43.58
01-01-01-01-02-02-04.mp4,Actor_04,3.24,166.8,47.2,74.15,0.2252,126.1333,212.6,44.6,74.15,54.67,84.1,60.0,65.1
01-01-02-01-01-01-04.mp4,Actor_04,3.8,157.7,44.1,110.42,0.2205,118.7445,230.2,49.6,110.42,59.83,89.9,60.0,68.9
01-01-02-01-01-02-04.mp4,Actor_04,3.74,112.4,33.4,96.33,0.223,131.4556,242.2,44.9,96.33,77.67,87.7,60.0,75.38
01-01-02-01-02-01-04.mp4,Actor_04,3.64,82.5,105.5,65.99,0.2239,134.1376,224.1,33.1,65.99,0.0,60.9,60.0,36.27
01-01-02-01-02-02-04.mp4,Actor_04,3.57,84.0,45.0,67.22,0.2202,127.5258,239.1,31.1,67.22,58.33,72.2,60.0,62.99
